X1,X2,X3,X4,X5,X6,Output
26.7,25,2,20,100,0,11.74
26.7,25,2,20,100,0,10.92
26.7,25,2,20,100,4.1,10.63
26.7,25,2,20,100,3.6,11.35
26.7,25,2,20,100,5.1,10.32
26.7,25,2,20,100,7.1,9.37
26.7,25,2,20,100,8.6,9.03
26.7,25,2,20,100,8.1,9.48
26.7,25,2,20,100,11.2,7.8
26.7,25,2,20,100,11.4,8.36
26.7,25,2,20,100,11.6,6.69
37.7,25,2,20,100,0,12.32
37.7,25,2,20,100,0,12.74
37.7,25,2,20,100,0,12.17
37.7,25,2,20,100,2.8,12.31
37.7,25,2,20,100,3.2,11.34
37.7,25,2,20,100,4.6,10.65
37.7,25,2,20,100,5.7,10.8
37.7,25,2,20,100,6.3,9.67
37.7,25,2,20,100,6.7,8.88
37.7,25,2,20,100,7.3,8.44
37.7,25,2,20,100,10.5,7.02
37.7,25,2,20,100,11.6,5.85
45.2,25,2,20,100,0,13.83
45.2,25,2,20,100,0,13.68
45.2,25,2,20,100,0,13.53
45.2,25,2,20,100,3,12.22
45.2,25,2,20,100,3.1,11.7
45.2,25,2,20,100,4.6,11.39
45.2,25,2,20,100,5.3,9.63
45.2,25,2,20,100,5.1,10.85
45.2,25,2,20,100,7.2,8.73
45.2,25,2,20,100,8.4,7.54
45.2,25,2,20,100,10.6,5.97
45.2,25,2,20,100,11.3,5.1
39.9,45,2,10,50,0,20.78
39.9,45,2,10,50,2.21,20.98
39.9,45,2,10,50,2.52,21.12
39.9,45,2,10,50,3.15,19.63
39.9,45,2,10,50,4.75,18.73
39.9,45,2,10,50,8.19,10.1
30,24.96,2,16,250.08,0,5.18
30,24.96,2,16,250.08,0.97,4.56
30,24.96,2,16,250.08,2.05,3.21
30,24.96,2,16,250.08,4.12,2.12
30,24.96,2,16,250.08,5.83,0.98
30,24.96,2,16,250.08,7.73,0.78
30,24.96,2,16,250.08,0,7.04
30,24.96,2,16,250.08,1.03,5.42
30,24.96,2,16,250.08,2.22,4.22
30,24.96,2,16,250.08,4.38,3.59
30,24.96,2,16,250.08,5.74,3.38
30,24.96,2,16,250.08,8.47,2.82
30,24.96,2,16,250.08,0,9.1
30,24.96,2,16,250.08,1.17,8.65
30,24.96,2,16,250.08,3.22,7.46
30,24.96,2,16,250.08,5.84,6.46
30,24.96,2,16,250.08,7.06,4.55
30,24.96,2,16,250.08,8.32,6.19
30,24.96,2,16,250.08,0,9.53
30,24.96,2,16,250.08,0.85,10.48
30,24.96,2,16,250.08,1.72,9.72
30,24.96,2,16,250.08,2.96,8.77
30,24.96,2,16,250.08,5.82,8.58
30,24.96,2,16,250.08,8.68,7.81
25,93.96,2,12,60,0,18.37
35,93.96,2,12,60,0,22.13
45,93.96,2,12,60,0,26.51
25,92,2,16,80,0,18.22
35,92,2,16,80,0,22.92
45,92,2,16,80,0,26.1
25,90,2,20,100,0,17.37
35,90,2,20,100,0,21.37
45,90,2,20,100,0,25.04
25,93.96,2,12,60,1.76,17.75
25,93.96,2,12,60,4.14,16.91
25,93.96,2,12,60,12.93,13.81
35,93.96,2,12,60,0.51,21.82
35,93.96,2,12,60,3.36,20.08
35,93.96,2,12,60,5.05,19.05
45,93.96,2,12,60,1.11,24.82
45,93.96,2,12,60,2.05,23.79
45,93.96,2,12,60,4.79,20.76
25,92,2,16,80,9.96,14.73
25,92,2,16,80,19.09,11.54
25,92,2,16,80,31.4,7.23
35,92,2,16,80,5.73,19.3
35,92,2,16,80,7.52,18.18
35,92,2,16,80,11.58,15.62
45,92,2,16,80,1.88,24.01
45,92,2,16,80,2.94,22.84
45,92,2,16,100,6.02,19.42
25,90,2,20,100,23.45,9.55
25,90,2,20,100,31.25,6.95
25,90,2,20,100,37.7,4.8
35,90,2,20,100,10.67,15.1
35,90,2,20,100,20.34,9.41
35,90,2,20,100,24.72,6.84
45,90,2,20,100,6.78,17.83
45,90,2,20,100,12.32,11.94
45,90,2,20,100,16.26,7.73
43.5,63,2,14,28,0,19.4
43.5,63,2,14,28,0,21.09
43.5,63,2,14,28,0,22.48
43.5,63,2,14,28,0.56,23.12
43.5,63,2,14,28,0.56,26.22
43.5,63,2,14,28,0.56,27.73
43.5,63,2,14,28,1.18,25.13
43.5,63,2,14,28,1.18,26.6
43.5,63,2,14,28,1.18,31.1
43.5,63,2,14,28,2.37,27.96
43.5,63,2,14,28,2.37,29.3
43.5,63,2,14,28,2.37,35.13
43.5,63,2,14,28,4.42,26.75
43.5,63,2,14,28,4.42,27.72
43.5,63,2,14,28,4.42,30.42
43.5,63,2,14,28,7.57,22.3
43.5,63,2,14,28,7.57,25.19
43.5,63,2,14,28,7.57,28.06
43.5,63,2,14,28,10.38,19.85
43.5,63,2,14,28,10.38,23.68
43.5,63,2,14,28,10.38,25.01
43.5,90,2,20,40,0,18.7
43.5,90,2,20,40,0,19.02
43.5,90,2,20,40,0,19.12
43.5,90,2,20,40,0.52,24.09
43.5,90,2,20,40,0.52,25.49
